"","game_id","season","week","season_type","start_date","start_time_tbd","completed","neutral_site","conference_game","attendance","venue_id","venue","home_id","home_team","home_division","home_conference","home_points","home_post_win_prob","home_pregame_elo","home_postgame_elo","away_id","away_team","away_division","away_conference","away_points","away_post_win_prob","away_pregame_elo","away_postgame_elo","excitement_index","highlights","notes"
"34",63100,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,135,"Minnesota","fbs","Big Ten",47,NA,1659,1705,2433,"UL Monroe","fbs","FBS Independents",10,NA,1186,1140,NA,"",NA
"35",63129,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,TRUE,NA,NA,NA,277,"West Virginia","fbs","Big East",34,NA,1597,1630,103,"Boston College","fbs","Big East",14,NA,1462,1429,NA,"",NA
"36",63127,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,259,"Virginia Tech","fbs","Big East",52,NA,1922,1943,2006,"Akron","fbs","Mid-American",23,NA,1421,1400,NA,"",NA
"37",63124,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2641,"Texas Tech","fbs","Big 12",38,NA,1503,1540,328,"Utah State","fbs","Big West",16,NA,1351,1314,NA,"",NA
"38",63091,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,61,"Georgia","fbs","SEC",29,NA,1613,1651,290,"Georgia Southern",NA,NA,7,NA,1469,1431,NA,"",NA
"39",63122,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2426,"Navy","fbs","FBS Independents",6,NA,1463,1419,218,"Temple","fbs","Big East",17,NA,1248,1292,NA,"",NA
"40",63121,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,183,"Syracuse","fbs","Big East",63,NA,1584,1689,2084,"Buffalo","fbs","Mid-American",7,NA,1101,996,NA,"",NA
"41",63114,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,242,"Rice","fbs","Western Athletic",30,NA,1423,1425,248,"Houston","fbs","Conference USA",27,NA,1489,1487,NA,"",NA
"42",63084,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,167,"New Mexico","fbs","Mountain West",14,NA,1289,1275,68,"Boise State","fbs","Big West",31,NA,1559,1573,NA,"",NA
"43",63088,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,150,"Duke","fbs","ACC",0,NA,1297,1221,151,"East Carolina","fbs","Conference USA",38,NA,1563,1639,NA,"",NA
"44",63089,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,2199,"Eastern Michigan","fbs","Mid-American",32,NA,1303,1323,41,"UConn","fbs","FBS Independents",25,NA,1477,1457,NA,"",NA
"45",63128,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,264,"Washington","fbs","Pac-10",44,NA,1606,1640,70,"Idaho","fbs","Big West",20,NA,1364,1330,NA,"",NA
"46",63126,2000,2,"regular","2000-09-02T00:00:00.000Z",FALSE,TRUE,FALSE,FALSE,NA,NA,NA,26,"UCLA","fbs","Pac-10",35,NA,1451,1494,333,"Alabama","fbs","SEC",24,NA,1727,1684,NA,"",NA
